"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"3",29.9135794276176,0.179257084948738,0.324821548791397,0.551863278824084,0.581042028895531,0.686554752013335,NA,"3"
"6",183.229649921658,0.426457118022821,0.140265816997144,3.04034958161976,0.00236303694375565,0.00515718028684597,NA,"6"
"7",1651.18807619944,-0.692720464394502,0.0548465489293881,-12.6301559153037,1.43992647394542e-36,1.76552715249647e-35,NA,"7"
"8",209.637938486147,0.729755610699825,0.131859897512069,5.53432563249968,3.12428062707575e-08,1.13412925817346e-07,NA,"8"
"9",47.2551232589398,0.0405765263420398,0.271892794749528,0.149237225574218,0.881366447120378,0.919030613956427,"NAT1","9"
"10",11.9797501642461,0.542810487347266,0.521559820535907,1.04074444766379,0.297994168623494,0.403379301967656,"NAT2","10"
"11",108.922127976716,2.0570638337918,0.19690530703769,10.4469699915099,1.51281377727927e-25,1.30537760243219e-24,"NATP","11"
"12",350.71686801731,0.257383686520372,0.102726560342092,2.5055222881332,0.0122270691881946,0.0237452293708805,"SERPINA3","12"
"13",9128.439421961,0.389908792029733,0.0467163511345566,8.34630236652436,7.0433348334457e-17,4.21970198273669e-16,"AADAC","13"
"14",0.158192358990472,0.78595520814275,4.0804728567969,0.192613757210411,0.847261469988087,NA,"AAMP","14"
"15",156.479083393338,0.196592348777887,0.14561091304443,1.35012098109639,0.1769771793422,0.261745074675901,"AANAT","15"
"17",0.732334495547826,-0.311843021926385,2.29432943625118,-0.135919025837859,0.891885294610104,0.926394070897436,"AAVS1","17"
"18",0.774563363005392,1.72578824100941,2.02722221902671,0.851306889206245,0.394598898977146,0.508934853690835,"ABAT","18"
"19",4600.33028600984,0.386628861034378,0.048332447217865,7.9993644702408,1.25063020419284e-15,7.08914921130542e-15,"ABCA1","19"
"20",903.070312267806,0.425079343039835,0.0745779895970819,5.69979621784371,1.1995072749878e-08,4.50174133403877e-08,"ABCA2","20"
"21",4.52322235705183,0.328034741142006,0.84400657408599,0.388663727527536,0.697524918007681,0.78329333807977,"ABCA3","21"
"22",1226.36024604796,0.430326257563612,0.0633109455213218,6.79702781280825,1.0679948616452e-11,4.92956726305259e-11,"ABCB7","22"
"23",31.7776688322821,0.810145938862619,0.320430188556477,2.52830715642708,0.0114614031410992,0.0223910603782502,"ABCF1","23"
"24",1067.09073092054,0.58214620479222,0.0670714230482626,8.67949684582247,3.97523493752179e-18,2.52857196845905e-17,"ABCA4","24"
"25",227.376248317606,0.08392172939604,0.121698880287484,0.689585057790141,0.490455166633086,0.602963650804006,"ABL1","25"
"26",922.15171909075,-0.209496874645381,0.0727879742464652,-2.87817976546524,0.00399977142459423,0.00843086831459808,"AOC1","26"
"27",299.70151191683,-0.21641108139655,0.10876145170511,-1.98977742576769,0.0466154592197,0.0804283116342706,"ABL2","27"
"28",5.84091826930333,0.0582910469916433,0.735677160905383,0.0792345475560307,0.936846065987131,0.957107813705694,"ABO","28"
"29",996.838159268406,-0.144513678266338,0.0649756467143998,-2.22412066018437,0.0261403272107771,0.0475302289924819,"ABR","29"
"30",5438.1255159644,0.516215483294554,0.041831852908761,12.3402490542426,5.49855337144849e-35,6.45204455321719e-34,"ACAA1","30"
"31",1068.65776669111,0.0974793334844109,0.0657020260011344,1.48365795421176,0.137899686072063,0.211001409191245,"ACACA","31"
"32",1362.3522672541,0.487093287433445,0.0609097120360715,7.9969724228048,1.27515783996904e-15,7.22540416972843e-15,"ACACB","32"
"33",665.629405355783,-0.119697711268397,0.0763055980135352,-1.5686622526327,0.116726658546261,0.181909431495695,"ACADL","33"
"34",1.24671988581422,-0.0591200369457499,1.57049156241012,-0.0376442881711652,0.969971296074769,0.978804310958572,"ACADM","34"
"36",108.929842536121,0.165405860331521,0.17599275515189,0.9398447122938,0.347297220168788,0.458890660825497,"ACADSB","36"
"37",0.543603841878244,0.784681069533369,2.42042042826329,0.32419205373192,0.74579263769862,0.820915414731102,"ACADVL","37"
"38",423.792449298593,-0.791803457014011,0.0978592154474082,-8.09125081775814,5.90551049370958e-16,3.40380968542401e-15,"ACAT1","38"
"39",708.708441641375,-0.664367837863357,0.08119188243238,-8.18268794810455,2.77581317444068e-16,1.62276614696179e-15,"ACAT2","39"
"40",40.4750829217052,0.497894328570247,0.293990291359358,1.69357405058539,0.0903462525025839,0.145188427585114,"ASIC2","40"
"41",1860.23851801681,0.0489569119413974,0.0522188493951777,0.937533333431097,0.348484285718117,0.459990046881618,"ASIC1","41"
"43",176.877295844935,0.33642515865842,0.140976549751256,2.38639092283094,0.0170146539113603,0.0321448492944018,"ACHE","43"
"44",749.024212554717,0.41946485941409,0.0731092097545716,5.73751051094982,9.60783187895805e-09,3.62426993171445e-08,NA,"44"
"45",2.55268355396294,-0.0385517031941838,1.09981208521005,-0.0350529910633062,0.972037486051446,0.980419413456489,NA,"45"
"46",477.512838582641,0.0727145568484934,0.0874014053881957,0.831960956754983,0.405430982827646,0.520099248592298,NA,"46"
"47",1751.0672425259,0.877810539092234,0.0570548991584771,15.3853665862068,2.05210967069543e-53,3.80427576436595e-52,"ACLY","47"
"48",12.8597280624561,0.403593302585648,0.503909979526111,0.80092341684758,0.423175982688971,0.538348522474757,"ACO1","48"
"49",44.3703655663435,1.2688873518754,0.28226088600633,4.49544168102323,6.94256850448947e-06,2.04516439374707e-05,"ACR","49"
"50",954.970824752761,0.0147195893336346,0.0662523400069193,0.222174633108768,0.824177940490458,0.880772568120395,"ACO2","50"
"51",9946.0455726368,0.0443202373984183,0.0382760572695352,1.15791020706027,0.246900681707095,0.346620522670906,"ACOX1","51"
"52",1.40907649268242,1.66715894211116,1.60706310202876,1.03739482289559,0.299551890099398,0.405287409922421,"ACP1","52"
"53",2.56465587233207,-0.513052498020963,1.08917971980736,-0.471044850258235,0.637608707018249,0.733679620482585,"ACP2","53"
"56",34.0074868626391,0.562193550538929,0.323167423420907,1.73963558760904,0.0819230261991646,0.133353386362192,"ACRV1","56"
"57",655.211397296099,0.2411387019412,0.0757411360834261,3.18372174501838,0.00145394703226825,0.00326293493339085,NA,"57"
"58",1780.14596929959,-0.709301608268674,0.0580165134730378,-12.2258571880282,2.26183132116035e-34,2.60428671962978e-33,"ACTA1","58"
"59",45.9442404288924,0.0890753616332041,0.276601697050875,0.322034761835972,0.747426359980329,0.822487097244089,"ACTA2","59"
"60",2153.5090858002,0.0751255685705721,0.052226698959034,1.43845140642528,0.150306015750195,0.227177731527677,"ACTB","60"
"61",207.794701124024,-0.246534600991953,0.129138443213022,-1.90907211561532,0.0562527892898094,0.0953154298175686,NA,"61"
"62",30.2467084107542,-0.546723126700226,0.323492484594362,-1.69006438398648,0.0910156377814714,0.146057106884073,"ACTBP2","62"
"63",435.476343889853,-0.0980653786344587,0.0905104480537201,-1.08347025943629,0.278599744703333,0.382060392429303,"ACTBP3","63"
"65",24.332380919207,1.21815690704222,0.381099787575191,3.19642504865443,0.00139141971251041,0.00313080056839366,NA,"65"
"66",391.29276401127,-1.33327287072572,0.0986171413406091,-13.5196868678316,1.19684141606395e-41,1.70096902506754e-40,"ACTBP6","66"
"67",0.280742050920118,-0.175814047475885,3.18170395350118,-0.0552578272665555,0.955933059768522,NA,"ACTBP7","67"
"68",2.46654945097095,1.20618616987224,1.18945698731616,1.01406455444331,0.310551950070338,0.418097619451598,"ACTBP8","68"
"70",4.06379450073457,0.358288343805335,0.904731406532877,0.396016255452402,0.692093036389616,0.778725808877825,"ACTC1","70"
"71",0.793807598119251,1.75431441188361,2.01651816023702,0.869972037185824,0.384315685759762,0.498332269639924,"ACTG1","71"
"72",120.624795073974,0.276917664827662,0.164049814956561,1.68800961403698,0.0914093834365027,0.146625108085239,"ACTG2","72"
"73",1837.24896959111,0.321299645918502,0.0532119028677178,6.03811607183524,1.55923894403042e-09,6.22428590387875e-09,"ACTG1P1","73"
"74",196.349812421993,0.139171501605109,0.135733798784581,1.025326800335,0.30520901425171,0.411807237209714,"ACTG1P2","74"
"75",1.06285907626091,-1.29217094096272,1.83963990164482,-0.702404280211248,0.482427076779163,0.59527882263658,"ACTG1P3","75"
"76",0.612206756137193,-1.45443085023276,2.42702582708391,-0.599264677780653,0.548996398485429,0.657172589415062,NA,"76"
"77",8.00720108324259,-0.452339665699419,0.620940877753521,-0.728474613132125,0.466323103636948,0.580363950464562,NA,"77"
"78",650.050345559859,-0.461561558301764,0.0765528494289753,-6.02931911411076,1.64651887909421e-09,6.56002751421802e-09,"ACTG1P6","78"
"79",868.398768437544,0.369187995463797,0.0696311416705049,5.30205288333197,1.14507657605988e-07,3.96712237375893e-07,"ACTG1P7","79"
"80",99.4645610854156,-0.332394429866493,0.179407536946195,-1.8527339236934,0.0639205051465272,0.106664448012853,"ACTG1P8","80"
"81",274.59719900775,-0.0792810783988466,0.109492556827674,-0.724077331791822,0.469018260331402,0.582898351389164,"ACTN4","81"
"82",2.51926689723939,-0.102073212714639,1.16098423821149,-0.0879195508044822,0.929940617480988,0.952628402059832,"ACTG1P9","82"
"83",226.184495605739,0.78651184540194,0.127881525208935,6.15031642856092,7.73285133668215e-10,3.14999344942016e-09,"ACTG1P10","83"
"84",137.964257926444,0.33023644137175,0.159723555281614,2.0675500291081,0.0386823551619911,0.0678529576740568,NA,"84"
"85",4.87851054000781,1.29095570190653,0.832290323898618,1.55108820184215,0.120880548175147,0.187629017272808,NA,"85"
"86",3157.32757952669,-0.0522626743909645,0.0486267660114743,-1.07477174975264,0.282476931370866,0.386540636421617,"ACTL6A","86"
"87",16.6793288692637,-0.928163912946087,0.446358613894447,-2.07941301915947,0.0375794048930049,0.0661465746223702,"ACTN1","87"
"88",2331.28583130502,-0.385174947162923,0.0484037084151122,-7.95755035667198,1.75478713293317e-15,9.87855338623723e-15,"ACTN2","88"
"90",186.514804596562,0.00952384711226864,0.133216292593174,0.0714916090733233,0.943006502461077,0.960803998152185,"ACVR1","90"
"91",1264.85337440718,-0.361761011100771,0.063357377640836,-5.70984823822008,1.13076959531843e-08,4.252432328605e-08,"ACVR1B","91"
"92",3.15810817128513,2.95472165334983,1.29792487508265,2.27649666793056,0.0228162998099306,0.0419494294659128,"ACVR2A","92"
"93",0.634513129677028,1.26926854379871,2.264539037227,0.560497533022423,0.575140121900074,0.681493416671755,"ACVR2B","93"
"94",53.392055126377,1.21642917041598,0.254308209358011,4.78328707314167,1.72451557074764e-06,5.39043700565827e-06,"ACVRL1","94"
"95",427.118705593219,0.840544674652447,0.0963104568015725,8.72744977613607,2.60479469148051e-18,1.66910713752347e-17,"ACY1","95"
"96",364.085764021207,-0.647970481277103,0.102971042000501,-6.29274472403559,3.1190104323288e-10,1.3103755915525e-09,NA,"96"
"97",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,"ACYP1","97"
"98",120.908623879486,0.264363509917225,0.171011287467075,1.54588339654552,0.122132731120331,0.189313440392452,"ACYP2","98"
"99",2066.29846562912,0.78209089421848,0.0629049800402774,12.4328931305235,1.73248645357073e-35,2.06080592031682e-34,NA,"99"
"100",483.096239817907,-0.0838051139221769,0.094047314048329,-0.891095240413895,0.372878078124108,0.48635697904532,"ADA","100"
"101",128.326371358964,-0.430757755826925,0.158290055537972,-2.72131912748991,0.0065021956836411,0.0132342715074579,"ADAM8","101"
"102",671.879434225984,-0.564530297716266,0.0752089189004155,-7.50616158256129,6.08862573270216e-14,3.18771460208044e-13,"ADAM10","102"
"103",303.848948894719,-0.086896371376431,0.107186924088962,-0.810699365757612,0.417538337671864,0.532924570936861,"ADAR","103"
"104",1972.24810613789,-0.672795172237723,0.0520423646383051,-12.9278363293762,3.13518073882781e-38,4.0214354855391e-37,"ADARB1","104"
"105",147.3350024356,-0.205540232161949,0.158399214206089,-1.29760891297432,0.19442175783807,0.283870404895728,"ADARB2","105"
"106",0.322359981448618,-0.175813577070417,3.03719894655306,-0.0578867503131295,0.953838837142998,NA,"ADCP1","106"
"107",2.47064777156682,-2.11201292289579,1.27015497262702,-1.66279939724803,0.0963525973436684,0.153784338277126,"ADCY1","107"
"108",2258.1923049478,-0.337643068930365,0.0495260607107646,-6.81748283801981,9.26494680081236e-12,4.29257422038266e-11,"ADCY2","108"
"109",2398.97446233045,-0.978812953449164,0.138405725453305,-7.07205536652019,1.52655484608473e-12,7.39105299658237e-12,"ADCY3","109"
"110",66.1455851799461,-0.0885200529368732,0.218918482021343,-0.404351666060991,0.685954137494953,0.774312076639717,NA,"110"
"111",1448.30090895099,-0.728832876269786,0.0608942432228675,-11.9688305116515,5.17529405150564e-33,5.6878063930716e-32,"ADCY5","111"
"112",18390.4756149844,-1.3389311782329,0.0358590405017541,-37.3387340960059,3.86276343708398e-305,2.37205864732266e-302,"ADCY6","112"
"113",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,"ADCY7","113"
"115",0.795996933916045,1.65816532136168,2.0909608467736,0.793015959108111,0.42776852470487,0.543206317172185,"ADCY9","115"
"116",131.906748861367,-0.909413829502513,0.158163612026869,-5.74982967225115,8.9333400389574e-09,3.37935229707788e-08,"ADCYAP1","116"
"117",1601.45954658721,-0.444676869794063,0.0545653813057331,-8.14943209692813,3.6563727158123e-16,2.12406862773518e-15,"ADCYAP1R1","117"
"118",607.0715212426,0.246110338123275,0.0810677567615586,3.03585972962283,0.00239850919118889,0.00523072335894376,"ADD1","118"
"119",169.912453924335,0.0838130143071609,0.14432533353746,0.58072281735214,0.561427280972429,0.668469483516857,"ADD2","119"
"120",341.694439198546,0.112623707119713,0.103721283526246,1.08583024901745,0.277554100868511,0.380945458986787,"ADD3","120"
"121",587.285654132433,-0.631337040921297,0.0889004685077217,-7.10161657771758,1.23305933818956e-12,6.00159462557387e-12,NA,"121"
"122",4150.80399431927,-0.120192281100469,0.042590860152965,-2.82202051493674,0.00477221244134711,0.0099424465593121,"ADFN","122"
"124",367.372092143342,-0.216351827746432,0.0978413068785293,-2.21125243160371,0.0270183613926863,0.0489786728419939,"ADH1A","124"
"125",292.967656286429,-0.972540270478137,0.10978257613364,-8.85878528933637,8.08909968623522e-19,5.29854005225487e-18,"ADH1B","125"
"126",221.895316976591,-0.295736728427901,0.121437168941059,-2.43530651288026,0.0148791797944521,0.028456962342413,"ADH1C","126"
"127",0.335628953094802,1.76002405394786,2.94200452332572,0.598239751160641,0.549679971046033,NA,"ADH4","127"
"128",2003.76871125387,0.737284394969993,0.0522784726606187,14.1030209462372,3.63854112105508e-45,5.60342936699161e-44,"ADH5","128"
"129",1698.73379437079,-0.199776858899918,0.0601957682957822,-3.31878576444578,0.000904097630365358,0.00209078783560719,NA,"129"
"130",3988.34288412843,0.123940918481274,0.0453005013125661,2.73597233783577,0.0062196254115565,0.0126959611240332,"ADH6","130"
"131",2.62968228585215,0.208091343383064,1.06169558801761,0.19599906576951,0.844610897223728,0.894951139785988,"ADH7","131"
"132",15.1411484580662,-0.00046000875273948,0.450672690403256,-0.00102071583775771,0.999185586733504,0.999389017799686,"ADK","132"
"133",2.83610942310219,-0.336471751490616,1.02984215708454,-0.326721672030946,0.743878407138551,0.819691824721625,"ADM","133"
"134",909.431158299505,-0.199097358833127,0.0713596763507424,-2.79005411760189,0.00526992320840568,0.0108946736211927,"ADORA1","134"
"135",301.444744039201,-0.203866048636083,0.109802695217649,-1.85665796483395,0.0633598315034231,0.105896710897874,"ADORA2A","135"
"136",4.15740417674339,-0.976775927758799,0.891322358484257,-1.09587279894993,0.273134444354777,0.37582442730844,"ADORA2B","136"
"138",1216.48413987918,-0.274926327718381,0.0595649623321703,-4.61557125118664,3.92015514589153e-06,1.18537641649875e-05,NA,"138"
"139",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,NA,"139"
"140",15.536404218195,-0.41060703490784,0.446495155194308,-0.919622598657649,0.357770013067916,0.470283129913927,"ADORA3","140"
